timestamp,device_id,animal_type,confidence,action_triggered,stay_duration
2026-06-16 19:20:15,CAM001,イノシシ,0.92,超音波A,12.3
2026-06-16 19:35:10,CAM001,サル,0.88,フラッシュB,7.1
2026-06-16 20:05:22,CAM001,イノシシ,0.95,警告音C,15.6
2026-06-16 20:15:30,CAM001,シカ,0.90,超音波A,9.8
2026-06-16 20:30:12,CAM001,イノシシ,0.93,フラッシュB,18.2
2026-06-16 20:45:00,CAM002,シカ,0.85,なし,4.2
2026-06-16 21:02:18,CAM001,クマ,0.97,警告音C,25.4
2026-06-16 21:15:45,CAM003,アライグマ,0.89,フラッシュB,6.5
2026-06-16 21:30:22,CAM002,イノシシ,0.91,超音波A,11.0
2026-06-16 21:48:10,CAM001,サル,0.94,警告音C,8.9
2026-06-16 22:01:05,CAM003,シカ,0.87,超音波A,14.1
2026-06-16 22:15:33,CAM002,ハクビシン,0.92,フラッシュB,5.3
2026-06-16 22:30:50,CAM001,イノシシ,0.96,警告音C,22.1
2026-06-16 22:45:12,CAM003,サル,0.86,超音波A,10.4
2026-06-16 23:00:01,CAM002,シカ,0.93,フラッシュB,16.7
2026-06-16 23:18:25,CAM001,イノシシ,0.89,超音波A,8.5
2026-06-16 23:35:40,CAM003,タヌキ,0.91,なし,3.8
2026-06-16 23:50:11,CAM002,クマ,0.95,警告音C,30.2
2026-06-17 00:05:32,CAM001,シカ,0.94,超音波A,13.4
2026-06-17 00:20:18,CAM003,イノシシ,0.92,フラッシュB,19.0
2026-06-17 00:40:05,CAM002,サル,0.87,警告音C,11.2
2026-06-17 01:00:55,CAM001,アライグマ,0.90,フラッシュB,7.6
2026-06-17 01:15:22,CAM003,シカ,0.91,超音波A,12.0
2026-06-17 01:30:47,CAM002,イノシシ,0.96,警告音C,17.5
2026-06-17 01:45:10,CAM001,ハクビシン,0.88,なし,4.9
2026-06-17 02:00:33,CAM003,クマ,0.98,警告音C,28.7
2026-06-17 02:20:15,CAM002,サル,0.93,フラッシュB,9.1
2026-06-17 02:35:50,CAM001,イノシシ,0.90,超音波A,14.3
2026-06-17 02:50:02,CAM003,シカ,0.95,フラッシュB,21.4
2026-06-17 03:05:18,CAM002,タヌキ,0.86,なし,5.1
2026-06-17 03:20:40,CAM001,イノシシ,0.94,警告音C,16.8
2026-06-17 03:35:12,CAM003,サル,0.89,超音波A,8.0
2026-06-17 03:50:55,CAM002,シカ,0.92,フラッシュB,13.2
2026-06-17 04:05:27,CAM001,キツネ,0.87,なし,3.2
2026-06-17 04:20:01,CAM003,イノシシ,0.93,超音波A,11.5
2026-06-17 04:40:19,CAM002,クマ,0.96,警告音C,24.0
2026-06-17 04:55:34,CAM001,サル,0.91,フラッシュB,10.6
2026-06-17 05:15:12,CAM003,シカ,0.89,超音波A,9.3
2026-06-17 05:30:45,CAM002,イノシシ,0.95,警告音C,18.9
2026-06-17 18:45:22,CAM001,ハクビシン,0.90,フラッシュB,6.2
2026-06-17 19:02:10,CAM003,タヌキ,0.92,なし,4.5
2026-06-17 19:15:35,CAM002,イノシシ,0.94,超音波A,15.1
2026-06-17 19:30:03,CAM001,サル,0.88,フラッシュB,7.9
2026-06-17 19:50:48,CAM003,シカ,0.91,警告音C,14.6
2026-06-17 20:10:15,CAM002,アライグマ,0.89,フラッシュB,8.1
2026-06-17 20:25:33,CAM001,イノシシ,0.97,警告音C,20.3
2026-06-17 20:40:55,CAM003,クマ,0.94,超音波A,16.5
2026-06-17 21:00:12,CAM002,シカ,0.93,フラッシュB,11.8
2026-06-17 21:15:40,CAM001,サル,0.90,警告音C,9.5
2026-06-17 21:35:02,CAM003,イノシシ,0.92,超音波A,13.7
2026-06-17 21:50:27,CAM002,ハクビシン,0.91,なし,5.0
2026-06-17 22:05:14,CAM001,キツネ,0.86,フラッシュB,4.1
2026-06-17 22:20:45,CAM003,シカ,0.94,超音波A,17.2
2026-06-17 22:40:09,CAM002,イノシシ,0.96,警告音C,21.9
2026-06-17 22:55:31,CAM001,サル,0.87,フラッシュB,6.8
2026-06-17 23:10:55,CAM003,タヌキ,0.89,なし,3.9
2026-06-17 23:30:18,CAM002,クマ,0.98,警告音C,32.4
2026-06-17 23:45:40,CAM001,シカ,0.90,超音波A,10.5
2026-06-18 00:02:11,CAM003,イノシシ,0.93,フラッシュB,14.8
2026-06-18 00:20:35,CAM002,サル,0.91,警告音C,12.6
2026-06-18 00:35:50,CAM001,アライグマ,0.92,フラッシュB,7.0
2026-06-18 00:50:14,CAM003,シカ,0.88,超音波A,11.2
2026-06-18 01:10:44,CAM002,イノシシ,0.95,警告音C,19.4
2026-06-18 01:25:27,CAM001,ハクビシン,0.89,なし,4.7
2026-06-18 01:40:03,CAM003,クマ,0.97,警告音C,26.1
2026-06-18 02:00:52,CAM002,サル,0.92,フラッシュB,8.4
2026-06-18 02:15:18,CAM001,イノシシ,0.91,超音波A,13.0
2026-06-18 02:30:40,CAM003,シカ,0.96,フラッシュB,23.5
2026-06-18 02:45:05,CAM002,タヌキ,0.85,なし,5.5
2026-06-18 03:00:29,CAM001,イノシシ,0.94,警告音C,15.9
2026-06-18 03:15:55,CAM003,サル,0.90,超音波A,9.2
2026-06-18 03:30:12,CAM002,シカ,0.93,フラッシュB,14.0
2026-06-18 03:45:47,CAM001,キツネ,0.88,なし,3.6
2026-06-18 04:00:10,CAM003,イノシシ,0.92,超音波A,12.1
2026-06-18 04:20:33,CAM002,クマ,0.95,警告音C,21.3
2026-06-18 04:35:50,CAM001,サル,0.89,フラッシュB,11.1
2026-06-18 04:50:14,CAM003,シカ,0.91,超音波A,8.7
2026-06-18 05:10:02,CAM002,イノシシ,0.94,警告音C,17.2
2026-06-18 19:00:45,CAM001,ハクビシン,0.91,フラッシュB,5.9
2026-06-18 19:15:22,CAM003,タヌキ,0.90,なし,4.2
2026-06-18 19:30:55,CAM002,イノシシ,0.93,超音波A,16.4
2026-06-18 19:45:10,CAM001,サル,0.87,フラッシュB,7.5
2026-06-18 20:05:38,CAM003,シカ,0.92,警告音C,15.3
2026-06-18 20:20:01,CAM002,アライグマ,0.88,フラッシュB,8.9
2026-06-18 20:40:24,CAM001,イノシシ,0.96,警告音C,22.8
2026-06-18 20:55:50,CAM003,クマ,0.93,超音波A,18.0
2026-06-18 21:15:11,CAM002,シカ,0.94,フラッシュB,12.5
2026-06-18 21:30:35,CAM001,サル,0.91,警告音C,10.2
2026-06-18 21:45:02,CAM003,イノシシ,0.91,超音波A,14.5
2026-06-18 22:00:27,CAM002,ハクビシン,0.93,なし,4.8
2026-06-18 22:15:19,CAM001,キツネ,0.85,フラッシュB,4.5
2026-06-18 22:30:44,CAM003,シカ,0.95,超音波A,18.1
2026-06-18 22:50:03,CAM002,イノシシ,0.97,警告音C,23.1
2026-06-18 23:05:22,CAM001,サル,0.86,フラッシュB,6.2
2026-06-18 23:20:50,CAM003,タヌキ,0.88,なし,4.0
2026-06-18 23:40:15,CAM002,クマ,0.99,警告音C,35.7
2026-06-18 23:55:38,CAM001,シカ,0.89,超音波A,9.9
2026-06-19 00:10:05,CAM003,イノシシ,0.94,フラッシュB,13.9
2026-06-19 00:25:30,CAM002,サル,0.92,警告音C,11.5
