timestamp,device_id,animal_type,confidence,action_triggered,stay_duration
2026-06-20 00:51:28,CAM003,イノシシ,0.86,超音波A,14.0
2026-06-21 04:07:20,CAM001,サル,0.95,フラッシュB,11.1
2026-06-22 00:57:18,CAM001,イノシシ,0.92,フラッシュB,8.8
2026-06-23 00:10:10,CAM001,サル,0.85,警告音C,17.3
2026-06-24 01:52:35,CAM002,イノシシ,0.99,フラッシュB,10.6
2026-06-25 01:23:02,CAM002,サル,0.98,フラッシュB,5.6
2026-06-26 23:52:01,CAM002,サル,0.92,フラッシュB,8.4
2026-06-27 01:43:29,CAM002,イノシシ,0.86,警告音C,16.8
2026-06-28 23:01:59,CAM003,イノシシ,0.96,警告音C,13.8
2026-06-29 22:32:11,CAM003,イノシシ,0.92,フラッシュB,9.3
2026-06-30 03:21:43,CAM002,イノシシ,0.89,警告音C,14.1
2026-07-01 02:48:26,CAM003,イノシシ,0.92,超音波A,9.1
2026-07-02 04:41:27,CAM001,サル,0.92,フラッシュB,7.3
2026-07-03 05:15:14,CAM001,イノシシ,0.93,超音波A,7.8
2026-07-04 20:43:54,CAM001,イノシシ,0.91,フラッシュB,9.9
2026-07-05 21:56:02,CAM002,イノシシ,0.93,警告音C,20.1
2026-07-06 22:50:06,CAM001,イノシシ,0.98,警告音C,19.5
2026-07-07 22:08:38,CAM003,サル,0.9,超音波A,5.4
2026-07-08 19:03:24,CAM002,イノシシ,0.95,フラッシュB,14.9
2026-07-09 05:13:49,CAM003,サル,0.98,フラッシュB,2.6
2026-07-10 03:08:25,CAM001,サル,0.91,超音波A,15.8
2026-07-11 22:01:19,CAM001,サル,0.91,超音波A,12.4
2026-07-12 05:46:59,CAM001,サル,0.93,超音波A,6.8
2026-07-13 00:43:07,CAM002,イノシシ,0.93,超音波A,13.1
2026-07-14 20:13:16,CAM003,サル,0.96,超音波A,4.3
2026-07-15 21:49:39,CAM002,イノシシ,0.92,超音波A,12.2
2026-07-16 21:01:05,CAM002,イノシシ,0.99,超音波A,11.4
2026-07-17 23:41:03,CAM001,サル,0.86,警告音C,11.0
